epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4086,0.70703,0.42428,1.1129,0.92306,0.84594,0.90358,0.6122,1.26855,0.7857,1.51249,0.000469718,0.000469718,0.000469718
2,56.4015,0.70007,0.48635,1.11552,0.81249,0.84908,0.85323,0.58936,1.25317,1.01352,1.56829,0.000899221,0.000899221,0.000899221
3,82.9006,0.68702,0.50348,1.11297,0.79613,0.85556,0.85257,0.59537,1.22976,0.88252,1.5022,0.00128157,0.00128157,0.00128157
4,109.498,0.67574,0.5003,1.09535,0.84442,0.86737,0.88233,0.58021,1.27182,0.79688,1.55368,0.00121679,0.00121679,0.00121679
5,135.992,0.68139,0.46495,1.1141,0.74761,0.84744,0.84021,0.56519,1.32794,0.84266,1.64142,0.00114606,0.00114606,0.00114606
6,162.625,0.67515,0.47383,1.11116,0.84373,0.87778,0.88148,0.59325,1.27783,0.82032,1.60509,0.00107532,0.00107532,0.00107532
7,189.244,0.68014,0.46239,1.09396,0.78518,0.92908,0.89029,0.59078,1.28511,0.7827,1.54997,0.00100459,0.00100459,0.00100459
8,215.799,0.68726,0.49061,1.10925,0.82473,0.9,0.89687,0.61452,1.23927,0.73686,1.53739,0.000933851,0.000933851,0.000933851
9,242.259,0.66058,0.43026,1.08427,0.87822,0.85556,0.89485,0.61053,1.27453,0.75926,1.5798,0.000863116,0.000863116,0.000863116
10,268.721,0.65249,0.42679,1.08,0.86786,0.86667,0.88702,0.58327,1.33226,0.76383,1.59346,0.00079238,0.00079238,0.00079238
11,317.478,0.64936,0.39168,1.07281,0.85682,0.92222,0.92082,0.60034,1.32104,0.74935,1.61561,0.000721645,0.000721645,0.000721645
12,344.564,0.61704,0.38062,1.05965,0.86618,0.85775,0.91667,0.61178,1.29471,0.72223,1.59162,0.000650909,0.000650909,0.000650909
13,371.711,0.62938,0.37559,1.07349,0.87026,0.86667,0.91181,0.63718,1.25106,0.72391,1.56239,0.000580174,0.000580174,0.000580174
14,398.781,0.60773,0.34395,1.04847,0.91054,0.90228,0.91929,0.60695,1.33627,0.68862,1.58693,0.000509438,0.000509438,0.000509438
15,425.786,0.61371,0.3562,1.05305,0.92771,0.9,0.92999,0.63377,1.20377,0.71052,1.50013,0.000438703,0.000438703,0.000438703
16,452.551,0.60533,0.34535,1.06708,0.91709,0.89731,0.93438,0.61942,1.27617,0.70076,1.52376,0.000367967,0.000367967,0.000367967
17,479.157,0.57836,0.32638,1.02061,0.89306,0.88889,0.9273,0.64254,1.25753,0.62714,1.57067,0.000297232,0.000297232,0.000297232
18,506.258,0.58774,0.32158,1.03402,0.9175,0.90872,0.93617,0.65746,1.21479,0.64761,1.51745,0.000226497,0.000226497,0.000226497
19,532.857,0.58279,0.32312,1.02237,0.89114,0.91111,0.93363,0.64492,1.26004,0.61496,1.55294,0.000155761,0.000155761,0.000155761
20,559.444,0.55821,0.30603,1.02149,0.90943,0.92222,0.9347,0.65102,1.23321,0.60851,1.52104,8.50255e-05,8.50255e-05,8.50255e-05
