epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7967,0.70929,0.42511,1.11386,0.92159,0.85091,0.91098,0.60708,1.2743,0.77319,1.51616,0.000469718,0.000469718,0.000469718
2,37.7168,0.69456,0.48196,1.11565,0.86278,0.85705,0.86957,0.61161,1.20844,0.89038,1.54604,0.000899221,0.000899221,0.000899221
3,55.191,0.70094,0.49576,1.12018,0.75879,0.80648,0.8155,0.57917,1.24636,0.8651,1.52323,0.00128157,0.00128157,0.00128157
4,72.2327,0.67754,0.50952,1.10004,0.80168,0.83333,0.83449,0.57229,1.29125,0.9478,1.57986,0.00121679,0.00121679,0.00121679
5,90.3258,0.68717,0.4856,1.12098,0.85298,0.84893,0.87142,0.5764,1.36331,0.80488,1.65616,0.00114606,0.00114606,0.00114606
6,107.667,0.66215,0.45801,1.10404,0.79596,0.87778,0.87429,0.58954,1.24491,0.85645,1.54831,0.00107532,0.00107532,0.00107532
7,125.242,0.66534,0.46604,1.09123,0.91398,0.81547,0.89602,0.59287,1.28063,0.7951,1.53876,0.00100459,0.00100459,0.00100459
8,142.79,0.67675,0.47406,1.10845,0.84379,0.85746,0.89145,0.60771,1.2497,0.76303,1.50685,0.000933851,0.000933851,0.000933851
9,160.845,0.65288,0.42366,1.08196,0.82461,0.92222,0.91708,0.62061,1.26794,0.69825,1.57028,0.000863116,0.000863116,0.000863116
10,178.9,0.65464,0.42082,1.08364,0.82473,0.87927,0.8852,0.61013,1.31712,0.75769,1.55949,0.00079238,0.00079238,0.00079238
11,220.22,0.64208,0.39053,1.06693,0.93291,0.82927,0.91438,0.62951,1.26207,0.66984,1.53782,0.000721645,0.000721645,0.000721645
12,238.357,0.62552,0.38508,1.06479,0.90282,0.88999,0.92635,0.62824,1.2593,0.68256,1.54634,0.000650909,0.000650909,0.000650909
13,257.004,0.63496,0.38251,1.07779,0.90176,0.85482,0.89569,0.62808,1.18568,0.73508,1.46008,0.000580174,0.000580174,0.000580174
14,274.809,0.60618,0.34957,1.04898,0.84171,0.9,0.91145,0.59138,1.35566,0.75014,1.56698,0.000509438,0.000509438,0.000509438
15,292.676,0.59382,0.35995,1.0414,0.84915,0.88889,0.91015,0.6349,1.21309,0.69824,1.48729,0.000438703,0.000438703,0.000438703
16,310.834,0.6009,0.35057,1.06042,0.8382,0.8725,0.88267,0.60547,1.27301,0.71061,1.48585,0.000367967,0.000367967,0.000367967
17,329.274,0.58341,0.32604,1.01948,0.87396,0.87778,0.90799,0.6264,1.23378,0.67324,1.49237,0.000297232,0.000297232,0.000297232
18,346.953,0.59076,0.32005,1.03595,0.80877,0.92222,0.92053,0.64637,1.23474,0.6799,1.4784,0.000226497,0.000226497,0.000226497
19,365.196,0.58287,0.3243,1.01863,0.9232,0.82123,0.92365,0.63112,1.2541,0.66096,1.49308,0.000155761,0.000155761,0.000155761
20,382.245,0.56634,0.31685,1.02374,0.9276,0.83433,0.92854,0.63548,1.21388,0.63481,1.46341,8.50255e-05,8.50255e-05,8.50255e-05
