epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6474,0.59481,0.43104,0.97928,0.87662,0.82793,0.89859,0.63519,1.1121,0.85239,1.32447,0.000474668,0.000474668,0.000474668
2,66.9045,0.63589,0.4922,0.99292,0.8343,0.88889,0.89506,0.6475,1.12659,0.86757,1.34468,0.000856852,0.000856852,0.000856852
3,100.37,0.64154,0.49817,0.97292,0.81307,0.86667,0.87911,0.65581,1.09915,0.82675,1.33548,0.00114472,0.00114472,0.00114472
4,132.691,0.70705,0.58711,1.03692,0.7785,0.83483,0.85308,0.63022,1.15806,0.92063,1.40709,0.00100459,0.00100459,0.00100459
5,164.837,0.66441,0.53811,1.00811,0.81116,0.84444,0.87653,0.64619,1.09022,0.90332,1.33659,0.000863116,0.000863116,0.000863116
6,197.417,0.67228,0.51645,1.0053,0.84653,0.85556,0.87445,0.64109,1.10721,0.83041,1.35133,0.000721645,0.000721645,0.000721645
7,230.16,0.65274,0.49573,1.00492,0.86682,0.84444,0.88953,0.6701,1.0294,0.78975,1.25652,0.000580174,0.000580174,0.000580174
8,263.19,0.63246,0.46978,0.98837,0.88518,0.9,0.91231,0.67612,1.02618,0.73739,1.29073,0.000438703,0.000438703,0.000438703
9,296.609,0.61222,0.44874,0.99101,0.88075,0.88889,0.91487,0.69747,0.98829,0.65567,1.25534,0.000297232,0.000297232,0.000297232
10,328.547,0.59169,0.42304,0.96252,0.89507,0.89385,0.92554,0.69866,1.00096,0.66316,1.25826,0.000155761,0.000155761,0.000155761
