epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8219,0.64012,0.48408,0.98015,0.94901,0.77642,0.88558,0.65606,1.10789,0.85799,1.36027,0.000474668,0.000474668,0.000474668
2,71.8481,0.70436,0.63699,1.03244,0.79753,0.84594,0.83916,0.61814,1.10163,0.90304,1.34274,0.000927464,0.000927464,0.000927464
3,106.919,0.73574,0.64436,1.03638,0.77034,0.78051,0.8295,0.60294,1.1523,0.96074,1.36237,0.00135668,0.00135668,0.00135668
4,141.785,0.75429,0.77388,1.05961,0.81378,0.848,0.86479,0.63444,1.13102,0.95681,1.36585,0.0013229,0.0013229,0.0013229
5,176.803,0.73008,0.68711,1.05145,0.82163,0.82222,0.84543,0.61577,1.22004,0.97194,1.50756,0.00128753,0.00128753,0.00128753
6,211.237,0.7623,0.70693,1.06141,0.82707,0.8336,0.84219,0.61652,1.17741,0.9457,1.39077,0.00125216,0.00125216,0.00125216
7,245.967,0.75988,0.66866,1.05275,0.87087,0.77778,0.86124,0.63721,1.12871,0.91449,1.36725,0.00121679,0.00121679,0.00121679
8,280.488,0.7707,0.65024,1.04003,0.79159,0.92222,0.88205,0.64482,1.1656,0.90119,1.35272,0.00118143,0.00118143,0.00118143
9,315.062,0.74052,0.64072,1.03684,0.89917,0.80448,0.88953,0.62463,1.17156,0.91221,1.39785,0.00114606,0.00114606,0.00114606
10,349.941,0.7223,0.58965,1.02336,0.91311,0.75326,0.84251,0.62563,1.14296,1.07612,1.35945,0.00111069,0.00111069,0.00111069
11,385.501,0.70942,0.5904,0.99897,0.88115,0.81111,0.88863,0.64398,1.13694,0.85809,1.35249,0.00107532,0.00107532,0.00107532
12,420.847,0.751,0.64323,1.06431,0.82158,0.82222,0.85217,0.63472,1.17029,0.92545,1.40792,0.00103995,0.00103995,0.00103995
13,456.222,0.71316,0.58113,1.01941,0.86084,0.75556,0.84085,0.62787,1.15855,0.84974,1.36598,0.00100459,0.00100459,0.00100459
14,491.509,0.71052,0.56923,1.02232,0.92605,0.81111,0.88542,0.6472,1.14934,0.77623,1.35424,0.000969219,0.000969219,0.000969219
15,526.936,0.67914,0.53668,1.00315,0.90056,0.8195,0.88264,0.62363,1.18324,0.84654,1.38353,0.000933851,0.000933851,0.000933851
16,562.442,0.65644,0.50161,0.98362,0.8882,0.80739,0.877,0.64241,1.09886,0.84267,1.31135,0.000898484,0.000898484,0.000898484
17,597.545,0.68625,0.54739,1.01556,0.89951,0.77127,0.89703,0.64383,1.14616,0.77938,1.34791,0.000863116,0.000863116,0.000863116
18,635.143,0.68153,0.55796,1.0063,0.80864,0.86748,0.85044,0.63818,1.10693,0.87093,1.34166,0.000827748,0.000827748,0.000827748
19,673.111,0.66527,0.52304,1.01461,0.84538,0.87778,0.90978,0.66711,1.05572,0.82329,1.28936,0.00079238,0.00079238,0.00079238
