epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.743,0.52942,0.34739,0.93976,0.82432,0.84008,0.88618,0.62362,1.21748,0.82999,1.40771,0.000474668,0.000474668,0.000474668
2,228.98,0.57892,0.42832,0.95209,0.85471,0.86538,0.89391,0.65584,1.15772,0.86855,1.40964,0.000888235,0.000888235,0.000888235
3,360.981,0.61228,0.45249,0.9767,0.81443,0.83333,0.83628,0.61533,1.18287,0.90686,1.39978,0.00123893,0.00123893,0.00123893
4,472.474,0.61229,0.41524,0.98432,0.85669,0.87578,0.89238,0.6403,1.16169,0.78517,1.42372,0.00114606,0.00114606,0.00114606
5,641.155,0.58793,0.40965,0.97375,0.74894,0.9015,0.86848,0.62597,1.20886,0.80815,1.4268,0.00105174,0.00105174,0.00105174
6,752.858,0.57546,0.3851,0.95845,0.81272,0.89522,0.89139,0.65468,1.15257,0.75353,1.3467,0.00095743,0.00095743,0.00095743
7,1781.84,0.55597,0.36817,0.94324,0.84781,0.85792,0.90063,0.63882,1.17901,0.80913,1.40153,0.000863116,0.000863116,0.000863116
8,1894.65,0.53309,0.34371,0.92507,0.9078,0.88314,0.90226,0.66076,1.16141,0.81033,1.39761,0.000768802,0.000768802,0.000768802
9,2006.71,0.51928,0.32912,0.92042,0.89738,0.82898,0.90292,0.65729,1.22139,0.81603,1.43854,0.000674488,0.000674488,0.000674488
10,2120.26,0.49332,0.30013,0.91227,0.91653,0.84961,0.90703,0.66913,1.08434,0.74585,1.2935,0.000580174,0.000580174,0.000580174
11,2233.6,0.47283,0.2829,0.90817,0.82754,0.92031,0.89974,0.6761,1.07368,0.73605,1.32758,0.00048586,0.00048586,0.00048586
12,2341.04,0.46384,0.26514,0.89206,0.87404,0.8875,0.91437,0.70717,1.04095,0.71083,1.29686,0.000391546,0.000391546,0.000391546
13,2376.11,0.44099,0.25944,0.87769,0.85261,0.85248,0.90874,0.70918,1.0192,0.76873,1.271,0.000297232,0.000297232,0.000297232
14,2411.33,0.42069,0.25293,0.8755,0.85903,0.87778,0.91087,0.69965,1.05076,0.76475,1.29696,0.000202918,0.000202918,0.000202918
15,2446.79,0.41195,0.24362,0.85999,0.91086,0.84295,0.92099,0.71431,1.01482,0.71159,1.28188,0.000108604,0.000108604,0.000108604
