epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.06,1.7091,3.8104,1.72527,0.70809,0.37037,0.38028,0.34998,1.75655,6.69145,1.43436,0.00025722,0.00025722,0.00025722
2,333.646,1.18943,2.08511,1.38051,0.75145,0.47407,0.63849,0.47224,1.66295,2.14662,1.30943,0.000493834,0.000493834,0.000493834
3,495.645,1.31318,1.76492,1.47657,0.58093,0.64277,0.639,0.30543,1.82819,4.22397,1.58457,0.000694608,0.000694608,0.000694608
4,657.84,1.37837,1.55157,1.44772,0.79182,0.66667,0.7822,0.41175,1.69762,3.38302,1.67139,0.000859543,0.000859543,0.000859543
5,828.781,1.26674,1.3944,1.38822,0.42324,0.73757,0.4274,0.23687,1.85042,5.22119,1.66594,0.000988639,0.000988639,0.000988639
6,1003.57,1.27337,1.37315,1.43679,0.46316,0.67955,0.77782,0.47123,1.65691,5.54065,1.4728,0.00095743,0.00095743,0.00095743
7,1161.26,1.24244,1.25074,1.41069,0.40329,0.74815,0.79392,0.48399,1.62518,2.97637,1.54188,0.000863116,0.000863116,0.000863116
8,1318.91,1.19761,1.1493,1.38047,0.75607,0.69401,0.82334,0.52438,1.58569,2.10588,1.43735,0.000768802,0.000768802,0.000768802
9,1476.15,1.13868,1.07031,1.33125,0.63141,0.78942,0.82189,0.60948,1.55414,1.64916,1.48745,0.000674488,0.000674488,0.000674488
10,1680.2,1.11058,1.00083,1.32168,0.54021,0.86667,0.71072,0.49248,1.63742,1.4921,1.52283,0.000580174,0.000580174,0.000580174
11,1839.28,1.0803,0.92973,1.29398,0.67115,0.74634,0.86607,0.65713,1.54132,1.29694,1.42541,0.00048586,0.00048586,0.00048586
12,2007.07,1.01574,0.85176,1.23462,0.61377,0.84868,0.91014,0.67837,1.51867,1.30825,1.40218,0.000391546,0.000391546,0.000391546
13,2164.14,0.98231,0.85436,1.22904,0.72808,0.84868,0.91527,0.7067,1.37001,1.30622,1.34925,0.000297232,0.000297232,0.000297232
14,2321.67,0.98472,0.81596,1.22385,0.77787,0.94991,0.93339,0.65627,1.33855,1.09538,1.31509,0.000202918,0.000202918,0.000202918
15,2478.75,0.94504,0.76666,1.18298,0.74704,0.96296,0.93333,0.76765,1.30079,1.0535,1.34183,0.000108604,0.000108604,0.000108604
